crop_id,name_ko,name_en,category,category_order,has_scenarios,kc_ini,kc_mid,kc_end,kc_ini_2,kc_mid_2,kc_end_2,kc_ini_3,kc_mid_3,kc_end_3,kc_ini_4,kc_mid_4,kc_end_4,L_ini,L_dev,L_mid,L_late,h_m,zr,p,note
sugar_beet,사탕무,Sugar Beet,근채류,6,0,0.35,1.20,0.70,,,,,,,,,,30,45,90,15,0.5,0.7,0.55,
carrot,당근,Carrot,근채류,6,0,0.70,1.05,0.95,,,,,,,,,,20,30,50,20,0.3,0.5,0.35,
soybean,콩,Soybean,두과,7,0,0.40,1.15,0.50,,,,,,,,,,15,15,40,15,1.0,0.6,0.5,대두.
pea,완두,Pea,두과,7,0,0.50,1.15,1.10,,,,,,,,,,20,30,35,15,0.5,0.6,0.35,신선 완두. 건조는 Kc_end 0.30.
chickpea,병아리콩,Chickpea,두과,7,0,0.40,1.00,0.35,,,,,,,,,,20,30,40,20,0.4,0.6,0.5,
green_bean,강낭콩,Green Bean,두과,7,0,0.50,1.05,0.90,,,,,,,,,,20,30,30,10,0.4,0.5,0.45,
asparagus,아스파라거스,Asparagus,다년생채소,8,0,0.50,0.95,0.30,,,,,,,,,,50,30,100,50,0.5,1.2,0.45,
artichoke,아티초크,Artichoke,다년생채소,8,0,0.50,1.00,0.95,,,,,,,,,,40,40,250,30,0.9,0.6,0.45,
rice,벼,Rice,곡류,9,0,1.05,1.20,0.75,,,,,,,,,,30,30,60,30,1.0,0.5,0.2,담수 재배 특성상 Kc_ini가 높음.
barley,보리,Barley,곡류,9,0,0.30,1.15,0.25,,,,,,,,,,15,25,50,30,1.0,1.0,0.55,겨울 재배.
wheat,밀,Wheat,곡류,9,0,0.30,1.15,0.40,,,,,,,,,,15,25,50,30,1.0,1.5,0.55,겨울 밀 기준.
maize,옥수수,Maize,곡류,9,0,0.30,1.20,0.35,,,,,,,,,,20,35,40,30,2.0,1.0,0.55,사료용. 감미종은 Kc_end 1.05.
sorghum,수수,Sorghum,곡류,9,0,0.30,1.05,0.55,,,,,,,,,,20,35,40,30,1.5,1.0,0.55,
banana,바나나,Banana,열대작물,10,0,0.50,1.10,1.00,,,,,,,,,,120,90,120,60,3.0,0.5,0.35,1년차 기준. 2년차 이후 다름.
coffee,커피,Coffee,열대작물,10,0,0.90,0.95,0.95,,,,,,,,,,,,,,,0.9,0.4,2.5
pineapple,파인애플,Pineapple,열대작물,10,0,0.50,0.30,0.30,,,,,,,,,,60,120,600,10,1.2,0.3,0.5,다년생 CAM 식물이라 낮음.
cotton,목화,Cotton,섬유작물,11,0,0.35,1.15,0.60,,,,,,,,,,30,50,60,55,1.35,1.0,0.65,
sunflower,해바라기,Sunflower,유지작물,12,0,0.35,1.15,0.35,,,,,,,,,,25,35,45,25,2.0,0.8,0.45,
sesame,참깨,Sesame,유지작물,12,0,0.35,1.10,0.25,,,,,,,,,,20,30,40,20,1.0,1.0,0.6,
rapeseed,유채,Rapeseed,유지작물,12,0,0.35,1.10,0.35,,,,,,,,,,25,35,55,30,0.6,1.0,0.6,
sugarcane,사탕수수,Sugarcane,사탕수수,13,0,0.40,1.25,0.75,,,,,,,,,,50,70,220,140,3.0,1.2,0.65,
alfalfa,알팔파,Alfalfa,목초,14,0,0.40,0.95,0.90,,,,,,,,,,10,30,25,10,0.7,1.0,0.55,다년생. 예초 사이 값.
turfgrass_cool,잔디(한지형),Cool-season Turf,목초,14,0,0.90,0.95,0.95,,,,,,,,,,,,,,,0.5,0.4,0.1
turfgrass_warm,잔디(난지형),Warm-season Turf,목초,14,0,0.80,0.85,0.85,,,,,,,,,,,,,,,0.5,0.5,0.1
cattail,부들,Cattail,습지식물,15,0,1.00,1.20,1.00,,,,,,,,,,10,30,80,20,2.0,0.6,0.5,
reed,갈대,Reed,습지식물,15,0,1.00,1.20,1.00,,,,,,,,,,10,30,80,20,3.0,0.6,0.5,
